FLOW_S8,Converged
40.000000,0
41.052632,1
42.105263,1
43.157895,1
44.210526,1
45.263158,1
46.315789,1
47.368421,1
48.421053,1
49.473684,1
50.526316,1
51.578947,1
52.631579,0
53.684211,0
54.736842,0
55.789474,0
56.842105,0
57.894737,0
58.947368,0
60.000000,0
