T0301_BF,T0301_FEED_STAGE,T0301_BASIS_RR,ADN_FRAC,ADN_FLOW
0.875923078691119,14.1206537499913,2.30503565307333,-100000000,-100000000
0.827904948465318,11.6340533673414,2.28709068223702,0.999897958,21194.7311
0.826032394327975,11.9456028732965,2.12360298393369,0.999897724,21146.7921
0.826032394327975,11.622789074899,2.21331007405089,0.999897724,21146.7921
0.826032394327975,11.622789074899,2.21331007405089,0.999897724,21146.7921
0.826032394327975,12.1352979412794,1.94488385145847,0.999897724,21146.7921
0.826032394327975,11.622789074899,2.21331007405089,0.999897724,21146.7921
0.823871193567448,11.9655153077322,2.21753143237361,0.999897452,21091.4635
0.823871193567448,11.6359802992921,2.2868015321194,0.999897452,21091.4635
0.7994242331326,11.6359802992921,2.2868015321194,0.999894273,20465.5998
